batch_id,event_type,description,location,handler,temperature,hash,metadata,id,created_date,updated_date,created_by_id,created_by,is_sample
"BATCH-POT-003","verified","Delivery confirmed and payment released","Kampala","Capital Shoppers","","","","69292c5357d3e2efcc12e896","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-POT-003","delivered","Successfully delivered to buyer","Kampala Fresh Market","Capital Shoppers Receiving","","","","69292c5357d3e2efcc12e895","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-POT-003","created","Irish potatoes harvested from highland farms","Kabale District","Kabale Highland Farms","","","","69292c5357d3e2efcc12e892","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-COF-001","temperature_check","Cold chain verified","Mpigi District","Driver: John K.","18","","","69292c5357d3e2efcc12e891","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-POT-003","quality_check","GlobalGAP standards verified","Kabale District","GlobalGAP Auditor","","","","69292c5357d3e2efcc12e893","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-POT-003","picked_up","Loaded onto refrigerated truck","Kabale District","Highland Logistics","","","","69292c5357d3e2efcc12e894","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-COF-001","quality_check","Quality inspection passed - Grade A Arabica","Masaka District","UCDA Inspector","","","","69292c5357d3e2efcc12e88e","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-COF-001","created","Shipment created - Coffee beans harvested and packed","Masaka District","Masaka Coffee Estates","","","","69292c5357d3e2efcc12e88d","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-COF-001","picked_up","Collected by transporter","Masaka District","Uganda Freight Services","","","","69292c5357d3e2efcc12e88f","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"BATCH-COF-001","location_update","In transit - passed Mpigi checkpoint","Mpigi District","Driver: John K.","","","","69292c5357d3e2efcc12e890","2025-11-28T05:00:03.380000","2025-11-28T05:00:03.380000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
